"barcode","species","color","infected","total","rainfall"
"MSC0159772","Prunus avium","red",0,10,2.96030547985555
"MSC0159774","Prunus avium","red",0,15,5.0652588447388
"MSC0159776","Prunus avium","red",2,12,5.25964272655764
"MSC0159802","Prunus nigra","green",0,6,10.5320000003317
"MSC0159803","Prunus nigra","green",3,10,7.38802741380435
"MSC0159805","Prunus nigra","green",0,10,7.66064168543407
"MSC0159806","Prunus nigra","green",6,8,7.91534696604817
"MSC0159808","Prunus nigra","green",4,5,9.82665312627759
"MSC0160259","Prunus avium","red",8,15,6.29638444857049
"MSC0160261","Prunus avium","red",0,11,4.89231238092224
"MSC0160718","Prunus nigra","green",0,12,7.35958925465293
"MSC0194318","Viburnum opulus","green",1,9,7.10575307713936
"MSC0194320","Viburnum opulus","green",16,16,8.53143849133536
"MSC0194347","Viburnum araf.","red",1,10,5.73820327061484
"MSC0194348","Viburnum araf.","red",1,10,5.76854457054374
"MSC0194349","Viburnum araf.","red",5,8,5.63545780563696
"MSC0194352","Viburnum araf.","red",0,10,6.33972659076773
"MSC0194377","Viburnum opulus","green",16,16,7.13337075892402
"MSC0194379","Viburnum opulus","green",6,10,7.15033174616641
"MSC0240385","Viburnum araf.","red",2,7,5.82581621723603
"MSC0240393","Viburnum araf.","red",0,9,5.7791129280369
"MSC0285129","Viburnum opulus","green",7,7,8.59890948976995
